Surname,First_Name,Cognome e Nome,Genere,S.S.D.,ateneo,ID,fascia_id,Scopus_id,Total_Papers,Total_Citations,H-index,papers_1984,papers_1987,papers_1989,papers_1992,papers_1994,papers_1995,papers_1997,papers_1998,papers_1999,papers_2000,papers_2002,papers_2003,papers_2004,papers_2006,papers_2007,papers_2008,papers_2009,papers_2011,papers_2012,papers_2013,papers_2014,papers_2016,papers_2017,papers_2018,papers_2019,papers_2020,papers_2021,papers_2022,papers_2023,citations_1984,citations_1987,citations_1989,citations_1992,citations_1994,citations_1995,citations_1997,citations_1998,citations_1999,citations_2000,citations_2002,citations_2003,citations_2004,citations_2006,citations_2007,citations_2008,citations_2009,citations_2011,citations_2012,citations_2013,citations_2014,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,Journal,papers_2010,papers_2015,citations_2010,citations_2015,Book,Book Series,papers_1996,papers_2001,citations_1996,citations_2001,papers_2005,citations_2005,papers_1990,papers_1991,papers_1993,citations_1990,citations_1991,citations_1993,Conference Proceeding,papers_1988,citations_1988,papers_1982,citations_1982,Trade Journal,papers_1985,papers_1986,citations_1985,citations_1986,papers_1983,citations_1983,papers_1976,citations_1976,papers_1979,papers_1981,citations_1979,citations_1981,papers_1978,citations_1978,papers_1973,papers_1977,papers_1980,citations_1973,citations_1977,citations_1980,Report,papers_1975,citations_1975,papers_1974,citations_1974,papers_1972,citations_1972,papers_1960,citations_1960,papers_1971,citations_1971,papers_1970,citations_1970,papers_1968,papers_1969,citations_1968,citations_1969,papers_1959,papers_1963,papers_1964,papers_1966,papers_1967,citations_1959,citations_1963,citations_1964,citations_1966,citations_1967,papers_1954,citations_1954,papers_1961,papers_1962,papers_1965,citations_1961,citations_1962,citations_1965,papers_1955,citations_1955,papers_1952,citations_1952,papers_1957,citations_1957,papers_1953,papers_1956,papers_1958,citations_1953,citations_1956,citations_1958,papers_1947,citations_1947,papers_1950,papers_1951,citations_1950,citations_1951,papers_2024,citations_2024,papers_1948,citations_1948,papers_1937,citations_1937,papers_1902,papers_1904,papers_1908,citations_1902,citations_1904,citations_1908,papers_1939,citations_1939,Abilitato,Anno_abilitazione,ricercatore_to_associato,associato_to_ordinario,fascia_id_2012,fascia_id_2013,fascia_id_2014,fascia_id_2015,fascia_id_2016,fascia_id_2017,fascia_id_2018,fascia_id_2019,fascia_id_2020,fascia_id_2021,fascia_id_2022,Cod_AreaCUN,ESEC/FSE_2019,MSR_2016,ICSA_2016,ICSA_2020,ECSA_2018,ECSA_2014,ICSA_2014,ICSA_2018,ICSA_2022,ESEC/FSE_2017,ICSE_2016,ICSE_2017,ICSE_2019,ICSE_2015,ICSE_2014,ASE_2018,ECSA_2019,ICSA_2021,ASE_2017,ICSA_2017,ASE_2015,ASE_2014,MSR_2014,RE_2020,ECSA_2017,ICSA_2023,ICSA_2015,ICSA_2019,SEAMS_2016,SEAMS_2015
Russo,Stefano,RUSSO Stefano,M,ING-INF/05,Napoli Federico II,36935,2,9-s2.0-7102994111,191.0,1956.0,23.0,0.0,0.0,0.0,2.0,4.0,1.0,8.0,1.0,3.0,3.0,6.0,6.0,4.0,7.0,5.0,7.0,6.0,7.0,5.0,14.0,9.0,15.0,8.0,13.0,4.0,7.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,28.0,2.0,17.0,14.0,2.0,8.0,11.0,31.0,54.0,58.0,61.0,47.0,73.0,108.0,66.0,223.0,301.0,128.0,46.0,124.0,23.0,85.0,17.0,1.0,2.0,60.0,7.0,11.0,252.0,79.0,7.0,27.0,5.0,2.0,21.0,6.0,11.0,56.0,0.0,0.0,2.0,0.0,0.0,8.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monga,Mattia,MONGA Mattia,M,INF/01,MILANO,12586,1,9-s2.0-7102893575,85.0,944.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,7.0,7.0,5.0,8.0,3.0,2.0,2.0,3.0,2.0,6.0,4.0,4.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,60.0,233.0,86.0,62.0,107.0,13.0,20.0,18.0,57.0,15.0,36.0,47.0,8.0,7.0,0.0,1.0,0.0,13.0,6.0,3.0,47.0,50.0,1.0,17.0,0.0,1.0,0.0,18.0,7.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poggi,Agostino,POGGI Agostino,M,ING-INF/05,PARMA,42342,2,9-s2.0-7101947836,156.0,2333.0,24.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,7.0,5.0,8.0,3.0,3.0,7.0,3.0,5.0,4.0,9.0,2.0,7.0,7.0,8.0,5.0,8.0,5.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,8.0,6.0,8.0,56.0,176.0,28.0,33.0,84.0,32.0,255.0,59.0,85.0,1.0,77.0,32.0,88.0,48.0,69.0,35.0,54.0,3.0,15.0,0.0,49.0,6.0,4.0,49.0,25.0,9.0,28.0,4.0,7.0,5.0,921.0,9.0,43.0,1.0,1.0,2.0,2.0,4.0,10.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rossi,Bruno,ROSSI Bruno,M,INF/01,Libera Università di BOLZANO,68162,0,9-s2.0-7101881488,183.0,3521.0,32.0,8.0,1.0,10.0,8.0,3.0,2.0,9.0,4.0,2.0,3.0,2.0,3.0,7.0,3.0,5.0,3.0,8.0,4.0,6.0,4.0,9.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,21.0,12.0,207.0,151.0,115.0,29.0,187.0,39.0,74.0,33.0,14.0,136.0,192.0,86.0,181.0,79.0,238.0,57.0,182.0,46.0,143.0,111.0,64.0,3.0,44.0,0.0,0.0,0.0,0.0,167.0,3.0,8.0,54.0,155.0,4.0,3.0,3.0,3.0,63.0,83.0,2.0,216.0,8.0,5.0,4.0,13.0,226.0,72.0,8.0,2.0,10.0,1.0,0.0,0.0,5.0,4.0,42.0,46.0,3.0,20.0,1.0,2.0,4.0,3.0,36.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romano,Daniele,ROMANO Daniele,M,ING-IND/16,CAGLIARI,30750,1,9-s2.0-7007082098,29.0,315.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,66.0,0.0,52.0,0.0,47.0,14.0,2.0,20.0,36.0,21.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2022.0,0.0,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canfora,Gerardo,CANFORA Gerardo,M,ING-INF/05,SANNIO di BENEVENTO,41497,2,9-s2.0-7006337131,267.0,8621.0,49.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,4.0,6.0,6.0,13.0,7.0,14.0,24.0,14.0,12.0,10.0,6.0,10.0,13.0,11.0,14.0,11.0,3.0,4.0,6.0,6.0,4.0,0.0,0.0,0.0,0.0,46.0,131.0,17.0,2.0,218.0,104.0,284.0,803.0,62.0,251.0,673.0,539.0,432.0,256.0,160.0,213.0,409.0,318.0,581.0,267.0,16.0,135.0,57.0,88.0,12.0,0.0,81.0,9.0,10.0,191.0,708.0,3.0,19.0,3.0,7.0,65.0,140.0,20.0,1369.0,1.0,2.0,4.0,5.0,8.0,61.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abrahamsson,Pekka,ABRAHAMSSON Pekka,M,ING-INF/04,Libera Università di BOLZANO,67888,2,9-s2.0-7006011356,212.0,5539.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,11.0,4.0,10.0,11.0,8.0,7.0,4.0,9.0,12.0,12.0,14.0,12.0,12.0,15.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,21.0,263.0,516.0,350.0,101.0,213.0,555.0,195.0,256.0,151.0,203.0,746.0,390.0,329.0,196.0,45.0,75.0,32.0,1.0,0.0,40.0,7.0,15.0,230.0,438.0,9.0,74.0,0.0,1.0,0.0,28.0,12.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marchesi,Michele,MARCHESI Michele,M,ING-INF/05,CAGLIARI,30452,2,9-s2.0-7005947166,239.0,6485.0,34.0,4.0,1.0,7.0,3.0,1.0,0.0,3.0,6.0,7.0,0.0,2.0,7.0,4.0,5.0,6.0,7.0,2.0,10.0,10.0,6.0,9.0,16.0,10.0,15.0,11.0,12.0,7.0,5.0,0.0,67.0,1259.0,35.0,117.0,16.0,0.0,18.0,152.0,1093.0,0.0,28.0,114.0,47.0,59.0,223.0,71.0,6.0,144.0,147.0,57.0,33.0,377.0,516.0,356.0,158.0,135.0,68.0,14.0,0.0,100.0,6.0,14.0,36.0,316.0,1.0,31.0,4.0,3.0,18.0,281.0,3.0,228.0,7.0,4.0,3.0,40.0,37.0,95.0,107.0,2.0,18.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,79.0,0.0,0.0,6.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Di marco,Antinisca,DI MARCO Antinisca,F,INF/01,L_AQUILA,2132,0,9-s2.0-7005795661,90.0,2602.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,3.0,3.0,3.0,7.0,4.0,4.0,1.0,8.0,2.0,4.0,6.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,650.0,41.0,112.0,10.0,23.0,43.0,30.0,38.0,76.0,19.0,102.0,1.0,18.0,1222.0,29.0,3.0,0.0,20.0,9.0,2.0,81.0,31.0,2.0,18.0,0.0,0.0,0.0,0.0,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2023.0,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baresi,Luciano,BARESI Luciano,M,ING-INF/05,Politecnico di MILANO,4985,2,9-s2.0-7004855943,250.0,4849.0,36.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,3.0,6.0,4.0,4.0,18.0,20.0,11.0,10.0,13.0,8.0,13.0,7.0,17.0,13.0,7.0,8.0,9.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,12.0,27.0,106.0,181.0,193.0,231.0,407.0,500.0,139.0,152.0,254.0,90.0,593.0,20.0,187.0,269.0,61.0,103.0,18.0,34.0,8.0,0.0,50.0,15.0,14.0,601.0,91.0,16.0,66.0,2.0,4.0,2.0,119.0,17.0,414.0,0.0,0.0,1.0,0.0,0.0,1.0,115.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2013.0,0.0,2015.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Succi,Giancarlo,SUCCI Giancarlo,M,INF/01,BOLOGNA,22228,2,9-s2.0-7004757466,324.0,5009.0,44.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,11.0,7.0,11.0,14.0,19.0,17.0,20.0,17.0,12.0,12.0,24.0,13.0,10.0,2.0,14.0,8.0,24.0,19.0,15.0,3.0,0.0,0.0,30.0,1.0,0.0,1.0,2.0,6.0,64.0,68.0,293.0,193.0,476.0,291.0,147.0,813.0,178.0,140.0,326.0,453.0,240.0,71.0,29.0,86.0,132.0,62.0,36.0,18.0,0.0,83.0,6.0,4.0,126.0,172.0,9.0,90.0,4.0,10.0,2.0,172.0,15.0,380.0,0.0,2.0,1.0,0.0,1.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuggetta,Alfonso,FUGGETTA Alfonso,M,ING-INF/05,Politecnico di MILANO,5581,2,9-s2.0-7004650682,62.0,3252.0,22.0,0.0,0.0,1.0,4.0,4.0,6.0,3.0,5.0,3.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,58.0,104.0,111.0,1022.0,149.0,305.0,116.0,106.0,0.0,0.0,27.0,0.0,0.0,9.0,3.0,0.0,74.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,28.0,1.0,0.0,1.0,0.0,3.0,12.0,5.0,3.0,174.0,616.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,324.0,18.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nocera,Francesco,NOCERA Francesco,M,ING-INF/05,Politecnico di BARI,7401,0,9-s2.0-7004439906,146.0,2129.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,3.0,5.0,0.0,4.0,7.0,5.0,7.0,9.0,13.0,10.0,7.0,6.0,9.0,18.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,2.0,2.0,2.0,0.0,18.0,26.0,461.0,126.0,182.0,231.0,192.0,132.0,189.0,168.0,65.0,15.0,0.0,77.0,3.0,8.0,76.0,147.0,3.0,17.0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
